"userID","voteId","gadgetId","timestamp"
"user12","v12","g8","2025-11-27T05:04:11.795592"
"user11","v11","g2","2025-11-27T05:04:11.557432"
"user26","v26","g8","2025-11-27T05:04:15.428861"
"user44","v44","g1","2025-11-27T05:04:20.686810"
"user1","v1","g5","2025-11-27T05:04:08.765440"
"user19","v19","g5","2025-11-27T05:04:13.654805"
"user16","v16","g9","2025-11-27T05:04:12.887369"
"user8","v8","g10","2025-11-27T05:04:10.787860"
"user14","v14","g1","2025-11-27T05:04:12.320861"
"user30","v30","g2","2025-11-27T05:04:16.422803"
"user25","v25","g9","2025-11-27T05:04:15.205932"
"u124","v789","g1","2025-11-26T19:50:29.777877"
"user15","v15","g10","2025-11-27T05:04:12.592523"
"user35","v35","g9","2025-11-27T05:04:17.695689"
"user4","v4","g4","2025-11-27T05:04:09.802496"
"user7","v7","g2","2025-11-27T05:04:10.548781"
"user46","v46","g1","2025-11-27T05:04:21.176758"
"user20","v20","g4","2025-11-27T05:04:13.928323"
"user29","v29","g1","2025-11-27T05:04:16.187080"
"user27","v27","g4","2025-11-27T05:04:15.679794"
"user49","v49","g3","2025-11-27T05:04:21.976730"
"u1245","v789","g2","2025-11-26T19:51:48.161077"
"user28","v28","g3","2025-11-27T05:04:15.941997"
"user24","v24","g2","2025-11-27T05:04:14.941096"
"user37","v37","g10","2025-11-27T05:04:18.430699"
"user50","v50","g6","2025-11-27T05:04:22.219319"
"user36","v36","g8","2025-11-27T05:04:17.961863"
"user9","v9","g2","2025-11-27T05:04:11.038782"
"user40","v40","g8","2025-11-27T05:04:19.175341"
"user13","v13","g1","2025-11-27T05:04:12.066567"
"user33","v33","g10","2025-11-27T05:04:17.172870"
"user42","v42","g1","2025-11-27T05:04:19.807897"
"user5","v5","g6","2025-11-27T05:04:10.062751"
"user10","v10","g5","2025-11-27T05:04:11.300978"
"user43","v43","g8","2025-11-27T05:04:20.293445"
"user22","v22","g10","2025-11-27T05:04:14.446995"
"user2","v2","g6","2025-11-27T05:04:09.239624"
"user17","v17","g1","2025-11-27T05:04:13.135942"
"user41","v41","g7","2025-11-27T05:04:19.516741"
"user45","v45","g7","2025-11-27T05:04:20.924816"
"user48","v48","g6","2025-11-27T05:04:21.741379"
"user23","v23","g2","2025-11-27T05:04:14.680634"
"user47","v47","g1","2025-11-27T05:04:21.481534"
"user39","v39","g7","2025-11-27T05:04:18.920047"
"user38","v38","g7","2025-11-27T05:04:18.686175"
"user21","v21","g9","2025-11-27T05:04:14.182547"
"user34","v34","g3","2025-11-27T05:04:17.413641"
"user18","v18","g4","2025-11-27T05:04:13.408658"
"123","v1","g1","2025-11-27T04:22:01.619428"
"user32","v32","g3","2025-11-27T05:04:16.902086"